avg_gf,avg_ga,win_rate,form,goals_scored
1.0,1.0,0.0,0.333,0
2.0,6.0,0.0,0.0,2
0.0,2.0,0.0,0.0,1
0.0,2.0,0.0,0.0,3
2.0,0.0,1.0,1.0,1
2.0,0.0,1.0,1.0,1
6.0,2.0,1.0,1.0,0
1.0,1.0,0.0,0.333,0
0.0,0.0,0.0,0.333,0
1.0,4.0,0.0,0.0,1
0.0,0.0,0.0,0.333,2
2.0,1.0,1.0,1.0,0
4.0,1.0,1.0,1.0,2
0.0,0.0,0.0,0.333,1
1.0,2.0,0.0,0.0,2
0.0,0.0,0.0,0.333,0
2.0,1.0,1.0,1.0,0
0.0,7.0,0.0,0.0,1
1.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.333,2
0.0,0.0,0.0,0.333,4
0.0,1.0,0.0,0.0,1
7.0,0.0,1.0,1.0,1
1.0,2.0,0.0,0.0,1
0.0,1.0,0.0,0.0,3
0.0,2.0,0.0,0.0,3
0.0,0.0,0.0,0.333,2
2.0,3.0,0.0,0.0,3
2.0,0.0,1.0,1.0,1
1.0,0.0,1.0,1.0,0
3.0,2.0,1.0,1.0,2
0.0,0.0,0.0,0.333,0
1.0,1.0,0.0,0.333,2
1.0,3.0,0.0,0.0,0
1.0,1.0,0.0,0.333,1
3.0,1.0,1.0,1.0,2
2.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.333,1
0.0,2.0,0.0,0.0,0
0.0,0.0,0.0,0.333,3
1.0,0.0,1.0,1.0,1
1.0,2.0,0.0,0.0,0
0.0,1.0,0.0,0.0,1
2.0,1.0,1.0,1.0,0
0.0,2.0,0.0,0.0,1
0.0,2.0,0.0,0.0,2
2.0,0.0,1.0,1.0,0
2.0,0.0,1.0,1.0,2
4.0,1.0,1.0,1.0,0
0.0,2.0,0.0,0.0,0
1.0,4.0,0.0,0.0,1
2.0,0.0,1.0,1.0,2
0.0,1.0,0.0,0.0,2
1.0,1.0,0.0,0.333,1
1.0,0.0,1.0,1.0,2
1.0,1.0,0.0,0.333,4
2.0,3.0,0.0,0.0,2
2.0,0.0,1.0,1.0,1
3.0,2.0,1.0,1.0,0
0.0,2.0,0.0,0.0,2
3.0,3.0,0.0,0.333,2
0.0,1.0,0.0,0.0,3
3.0,3.0,0.0,0.333,1
1.0,0.0,1.0,1.0,0
2.0,0.0,1.0,1.0,3
1.0,0.0,1.0,1.0,1
2.0,0.0,1.0,1.0,2
1.0,0.0,1.0,1.0,1
0.0,1.0,0.0,0.0,3
0.0,2.0,0.0,0.0,1
3.0,0.0,1.0,1.0,3
2.0,1.0,1.0,1.0,0
2.0,1.0,1.0,1.0,1
0.0,0.0,0.0,0.333,1
0.0,1.0,0.0,0.0,4
2.0,1.0,1.0,1.0,1
2.0,1.0,1.0,1.0,0
1.0,2.0,0.0,0.0,0
1.0,2.0,0.0,0.0,6
3.0,2.0,1.0,1.0,1
0.5,0.5,0.0,0.333,1
2.0,1.0,0.5,0.5,1
3.0,1.0,1.0,1.0,2
2.0,0.5,1.0,1.0,2
1.0,0.5,0.5,0.667,1
3.5,1.5,0.5,0.5,0
3.0,0.0,1.0,1.0,1
3.0,1.0,1.0,1.0,2
2.0,1.5,0.5,0.667,3
0.667,0.667,0.0,0.333,0
2.5,1.0,1.0,1.0,2
1.0,0.333,0.667,0.778,0
0.667,1.667,0.0,0.222,2
0.333,0.667,0.333,0.444,1
2.333,1.0,0.667,0.778,3
2.333,0.667,1.0,1.0,3
0.0,1.0,0.0,0.0,2
1.0,0.0,1.0,1.0,2
2.0,0.0,1.0,1.0,3
1.0,0.0,1.0,1.0,0
1.0,0.0,1.0,1.0,2
0.0,1.0,0.0,0.0,0
0.0,2.0,0.0,0.0,3
0.0,1.0,0.0,0.0,0
1.0,0.0,1.0,1.0,2
2.0,0.0,1.0,1.0,1
0.0,2.0,0.0,0.0,1
0.0,1.0,0.0,0.0,5
0.0,5.0,0.0,0.0,2
1.0,2.0,0.0,0.0,3
1.0,3.0,0.0,0.0,0
2.0,1.0,1.0,1.0,4
3.0,0.0,1.0,1.0,1
3.0,1.0,1.0,1.0,1
0.0,3.0,0.0,0.0,0
1.0,3.0,0.0,0.0,2
3.0,1.0,1.0,1.0,1
1.0,2.0,0.0,0.0,0
2.0,1.0,1.0,1.0,2
5.0,0.0,1.0,1.0,4
2.0,1.0,0.5,0.667,3
0.0,2.5,0.0,0.0,0
3.0,0.5,1.0,1.0,2
2.0,0.5,1.0,1.0,0
2.0,2.0,0.5,0.5,1
2.0,2.5,0.5,0.5,3
2.0,1.0,1.0,1.0,1
1.0,5.0,0.0,0.0,0
0.0,3.0,0.0,0.0,0
3.0,0.0,1.0,1.0,1
0.0,2.0,0.0,0.0,0
2.0,2.0,0.0,0.333,0
2.0,0.0,1.0,1.0,0
1.0,1.0,0.0,0.333,1
1.0,1.0,0.0,0.333,4
2.0,0.5,0.5,0.667,3
7.0,0.0,1.0,1.0,5
3.0,0.0,1.0,1.0,1
0.0,1.0,0.0,0.0,2
0.0,7.0,0.0,0.0,1
1.0,3.0,0.0,0.0,0
3.5,1.0,1.0,1.0,1
0.0,0.0,0.0,0.333,3
0.0,1.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0
2.0,1.0,1.0,1.0,4
2.0,0.0,1.0,1.0,8
0.0,0.0,0.0,0.333,0
0.0,1.0,0.0,0.0,0
3.0,4.0,0.0,0.0,1
0.0,0.0,0.0,0.333,1
0.0,4.0,0.0,0.167,1
5.0,0.0,1.0,1.0,1
1.0,2.0,0.0,0.0,1
2.0,0.0,1.0,1.0,5
0.0,1.0,0.0,0.0,0
1.0,0.0,1.0,1.0,4
0.0,2.0,0.0,0.0,0
0.0,5.0,0.0,0.0,2
2.0,2.0,0.0,0.333,1
1.0,0.0,1.0,1.0,4
0.0,4.0,0.0,0.0,0
0.0,2.0,0.0,0.0,0
3.0,0.0,1.0,1.0,6
2.0,2.0,0.0,0.333,2
1.0,2.0,0.0,0.0,2
2.0,0.0,1.0,1.0,3
0.0,3.0,0.0,0.0,1
2.0,1.0,1.0,1.0,3
1.0,1.0,0.0,0.333,0
1.0,2.0,0.0,0.0,3
1.0,1.0,0.0,0.333,5
0.0,1.0,0.0,0.0,0
2.0,2.0,0.0,0.333,1
1.0,2.0,0.0,0.0,0
2.0,2.0,0.0,0.333,2
2.0,2.0,0.0,0.333,4
2.0,1.0,1.0,1.0,0
5.0,0.0,1.0,1.0,2
3.0,1.0,1.0,1.0,0
1.0,0.0,1.0,1.0,2
2.0,2.0,0.0,0.333,0
1.0,1.0,0.0,0.333,0
3.0,0.0,1.0,1.0,2
1.0,4.0,0.0,0.0,1
0.0,2.0,0.0,0.0,1
2.0,2.0,0.0,0.333,1
7.0,1.0,1.0,1.0,0
2.0,4.0,0.0,0.0,4
1.0,7.0,0.0,0.0,0
7.0,1.0,1.0,1.0,1
1.0,1.0,0.0,0.333,1
2.0,1.0,0.5,0.667,3
2.5,1.5,1.0,1.0,2
2.0,2.0,0.0,0.333,1
3.0,2.0,0.5,0.5,1
2.5,2.0,0.5,0.667,0
1.5,1.0,0.5,0.667,1
1.0,1.0,0.0,0.333,1
2.0,0.0,1.0,1.0,1
0.0,0.0,0.0,0.333,0
0.0,0.0,0.0,0.333,2
0.0,1.0,0.0,0.0,1
1.0,2.0,0.0,0.0,0
1.0,0.0,1.0,1.0,4
2.0,1.0,1.0,1.0,0
1.0,0.0,0.5,0.667,3
0.0,0.0,0.0,0.333,1
2.5,0.0,1.0,1.0,7
0.5,1.5,0.0,0.0,1
1.0,2.5,0.5,0.5,1
0.5,0.5,0.5,0.5,2
1.667,0.333,0.667,0.778,3
1.0,0.667,0.667,0.667,2
4.0,0.333,1.0,1.0,1
0.333,1.0,0.0,0.222,0
2.0,0.75,0.75,0.833,0
3.25,0.25,1.0,1.0,5
0.0,5.0,0.0,0.0,1
0.5,0.0,0.5,0.667,2
0.0,1.0,0.0,0.0,4
2.0,1.0,1.0,1.0,2
2.0,2.0,0.0,0.333,2
2.5,0.0,0.5,0.667,4
0.0,3.0,0.0,0.0,0
2.0,2.0,0.0,0.333,1
1.0,2.0,0.0,0.0,2
3.0,0.0,1.0,1.0,2
0.5,3.5,0.0,0.0,2
2.0,1.5,0.5,0.5,3
1.0,0.333,0.667,0.778,1
1.5,1.0,0.5,0.667,1
2.5,1.0,0.5,0.667,0
2.0,2.5,0.5,0.5,3
1.5,2.0,0.0,0.167,2
2.0,3.0,0.0,0.167,0
3.0,0.667,0.667,0.778,1
0.0,2.0,0.0,0.0,0
0.0,1.667,0.0,0.0,2
1.667,1.333,0.333,0.444,1
2.333,1.667,0.667,0.667,6
1.667,1.667,0.333,0.444,1
2.333,1.667,0.667,0.667,0
2.5,0.5,0.75,0.833,2
1.333,1.0,0.333,0.556,2
1.0,3.333,0.0,0.0,2
1.333,2.667,0.0,0.111,0
1.0,0.5,0.5,0.667,2
1.25,3.0,0.0,0.083,3
0.5,1.5,0.25,0.25,1
1.75,1.75,0.5,0.5,0
1.333,1.0,0.333,0.556,0
1.5,0.5,0.75,0.833,1
1.667,1.333,0.333,0.444,1
0.667,2.667,0.0,0.0,0
1.5,2.75,0.25,0.333,3
3.0,0.5,1.0,1.0,2
4.333,1.667,1.0,1.0,0
3.25,1.75,0.75,0.75,1
0.5,2.75,0.0,0.0,2
0.75,1.5,0.25,0.25,0
1.25,1.5,0.25,0.333,0
1.5,2.75,0.25,0.333,2
1.333,0.667,0.333,0.556,2
1.0,0.75,0.25,0.5,0
1.667,0.0,1.0,1.0,2
1.5,1.25,0.25,0.417,1
2.333,2.0,0.333,0.444,1
2.0,1.75,0.25,0.417,1
1.5,2.75,0.25,0.333,1
2.333,1.667,0.333,0.333,2
0.75,1.25,0.0,0.25,0
0.75,1.25,0.25,0.333,1
1.667,1.0,0.333,0.556,3
0.5,2.0,0.25,0.25,1
0.0,0.667,0.0,0.222,1
1.0,1.333,0.0,0.222,0
1.75,0.0,1.0,1.0,1
2.25,1.25,0.5,0.5,0
0.75,1.25,0.0,0.167,0
0.25,0.75,0.0,0.25,4
1.75,1.25,0.25,0.5,2
0.5,1.5,0.0,0.167,1
2.0,1.0,0.333,0.556,1
0.75,1.75,0.25,0.333,1
0.667,2.0,0.0,0.111,0
1.25,0.75,0.25,0.5,1
0.75,1.0,0.25,0.333,0
0.25,1.25,0.0,0.167,2
0.5,1.75,0.0,0.083,1
1.75,1.0,0.25,0.5,3
0.5,0.75,0.0,0.25,1
2.0,1.333,0.333,0.556,3
1.333,2.0,0.0,0.222,0
1.667,0.0,1.0,1.0,2
1.0,1.25,0.5,0.583,0
1.5,0.75,0.5,0.667,0
1.75,1.25,0.25,0.5,0
0.75,1.5,0.25,0.333,0
2.667,1.0,0.667,0.778,0
0.5,1.5,0.0,0.083,1
1.667,0.0,1.0,1.0,3
0.667,0.333,0.333,0.444,3
1.0,2.25,0.0,0.167,0
0.667,1.0,0.333,0.444,2
0.5,1.25,0.0,0.167,0
0.8,2.4,0.0,0.133,1
1.0,0.75,0.5,0.583,0
0.75,2.25,0.0,0.0,2
1.25,0.25,0.5,0.583,1
1.333,0.667,0.333,0.556,0
2.0,0.333,1.0,1.0,0
2.0,0.333,0.667,0.778,3
1.5,0.75,0.5,0.667,0
0.25,1.5,0.0,0.083,2
1.0,0.667,0.333,0.556,0
0.75,2.5,0.25,0.25,4
0.75,1.0,0.25,0.417,0
1.0,0.5,0.25,0.5,0
1.0,0.75,0.25,0.333,0
2.0,0.0,0.667,0.778,1
0.75,0.75,0.5,0.5,0
1.0,1.667,0.333,0.333,3
1.0,1.75,0.25,0.25,0
1.667,0.333,0.667,0.778,4
0.333,1.0,0.333,0.444,1
1.0,0.75,0.25,0.333,1
1.0,2.25,0.25,0.25,0
0.5,1.75,0.25,0.333,0
1.5,1.25,0.5,0.5,1
2.25,0.5,0.75,0.833,1
0.75,0.25,0.25,0.5,0
0.5,1.0,0.25,0.25,3
1.25,1.5,0.5,0.5,0
0.333,2.333,0.0,0.111,0
1.333,0.0,0.667,0.778,1
1.25,1.5,0.5,0.5,3
0.25,2.0,0.0,0.083,0
0.75,2.0,0.25,0.25,1
1.25,0.5,0.5,0.5,2
0.0,0.333,0.0,0.222,0
0.0,2.333,0.0,0.0,0
1.667,0.0,1.0,1.0,0
1.667,0.333,0.667,0.778,0
1.5,0.5,0.75,0.75,0
0.667,0.667,0.333,0.444,2
1.0,0.5,0.5,0.583,1
1.25,0.25,0.5,0.667,1
0.0,1.75,0.0,0.083,0
0.25,2.75,0.0,0.0,1
1.5,0.5,0.75,0.75,1
1.25,0.0,0.75,0.833,2
0.0,0.333,0.0,0.222,0
1.667,0.667,0.667,0.667,1
0.333,2.0,0.0,0.0,4
2.333,1.0,0.667,0.667,1
2.0,1.75,0.5,0.5,2
1.25,1.0,0.5,0.5,3
0.5,2.0,0.25,0.25,4
1.25,1.75,0.25,0.25,1
1.0,0.25,0.75,0.833,1
0.0,0.667,0.0,0.111,0
1.5,0.5,0.5,0.667,4
0.0,0.667,0.0,0.111,0
2.0,0.333,1.0,1.0,1
1.333,0.333,0.667,0.778,1
1.5,0.25,0.5,0.667,4
1.25,1.5,0.5,0.5,0
1.25,1.25,0.5,0.5,1
1.75,0.5,0.75,0.833,0
0.0,0.75,0.0,0.083,3
1.5,2.5,0.25,0.25,0
0.0,1.667,0.0,0.111,3
1.333,0.667,0.333,0.556,1
1.0,0.25,0.75,0.833,3
2.0,2.333,0.333,0.333,0
1.0,0.75,0.5,0.583,2
0.75,1.5,0.25,0.333,0
1.5,2.5,0.25,0.25,0
0.75,0.5,0.25,0.333,1
1.0,3.333,0.0,0.0,0
2.25,0.25,0.5,0.667,4
1.25,1.25,0.25,0.417,1
1.5,0.25,0.75,0.833,1
1.0,2.5,0.25,0.25,0
2.0,0.333,1.0,1.0,2
0.0,0.0,0.0,0.333,2
0.0,0.0,0.0,0.333,2
1.0,1.0,0.0,0.333,2
2.0,0.0,1.0,1.0,0
1.0,0.0,1.0,1.0,3
0.0,2.0,0.0,0.0,0
0.0,1.0,0.0,0.0,3
2.0,0.0,1.0,1.0,0
2.0,3.0,0.0,0.0,2
0.0,3.0,0.0,0.0,2
4.0,1.0,1.0,1.0,3
1.0,1.0,0.0,0.333,0
2.0,1.0,1.0,1.0,2
0.0,2.0,0.0,0.0,1
2.0,0.0,1.0,1.0,1
2.0,1.0,1.0,1.0,2
1.0,0.0,1.0,1.0,2
2.0,3.0,0.0,0.0,1
0.0,1.0,0.0,0.0,2
0.0,2.0,0.0,0.0,0
1.0,0.0,1.0,1.0,2
2.0,0.0,1.0,1.0,1
0.0,1.0,0.0,0.0,0
3.0,2.0,1.0,1.0,2
2.0,0.0,1.0,1.0,3
2.0,2.0,0.0,0.333,3
0.0,2.0,0.0,0.0,1
2.0,2.0,0.0,0.333,1
1.0,0.0,1.0,1.0,2
3.0,1.0,1.0,1.0,4
1.0,0.0,1.0,1.0,2
2.0,0.0,1.0,1.0,1
1.5,2.0,0.5,0.5,2
1.5,1.0,0.5,0.5,3
4.0,2.0,1.0,1.0,0
1.5,0.5,1.0,1.0,0
1.0,0.0,1.0,1.0,1
0.5,1.5,0.0,0.0,0
1.0,0.0,1.0,1.0,0
2.0,0.0,1.0,1.0,3
2.0,0.0,1.0,1.0,1
2.0,0.0,1.0,1.0,2
2.0,1.0,1.0,1.0,2
0.0,2.0,0.0,0.0,2
1.0,2.0,0.0,0.0,4
0.0,3.0,0.0,0.0,0
2.0,1.0,1.0,1.0,3
3.0,0.0,1.0,1.0,0
0.0,1.0,0.0,0.0,2
0.0,2.0,0.0,0.0,2
0.0,2.0,0.0,0.0,1
0.0,2.0,0.0,0.0,2
0.0,0.0,0.0,0.333,1
2.0,2.0,0.0,0.333,1
3.0,2.0,1.0,1.0,2
0.0,1.0,0.0,0.0,0
2.0,3.0,0.0,0.0,1
1.0,0.0,1.0,1.0,0
1.0,2.0,0.0,0.0,0
4.0,1.0,1.0,1.0,1
2.0,1.0,1.0,1.0,0
1.0,4.0,0.0,0.0,0
0.0,3.0,0.0,0.0,2
1.0,2.0,0.0,0.0,1
2.0,2.0,0.0,0.333,1
0.0,3.0,0.0,0.0,1
2.0,2.0,0.0,0.333,1
3.0,0.0,1.0,1.0,2
0.0,0.0,0.0,0.333,5
3.0,3.0,0.0,0.333,1
5.0,0.0,1.0,1.0,2
1.0,1.0,0.0,0.333,0
2.0,1.0,1.0,1.0,3
3.0,0.0,1.0,1.0,0
1.0,1.0,0.0,0.333,0
0.0,5.0,0.0,0.0,1
1.0,3.0,0.0,0.0,3
1.0,1.0,0.0,0.333,1
1.0,0.0,1.0,1.0,2
1.0,4.0,0.0,0.0,1
2.0,1.0,0.5,0.5,6
0.0,3.0,0.0,0.0,1
1.0,1.0,0.0,0.333,2
1.0,1.0,0.0,0.333,0
1.0,2.0,0.0,0.0,1
2.0,1.0,1.0,1.0,3
1.0,3.0,0.0,0.0,0
2.0,2.0,0.5,0.5,3
0.0,0.0,0.0,0.333,1
0.0,0.0,0.0,0.333,0
1.0,0.0,1.0,1.0,0
0.0,1.0,0.0,0.0,3
1.0,3.0,0.0,0.0,3
3.0,1.0,1.0,1.0,0
0.0,2.0,0.0,0.0,2
2.0,0.0,1.0,1.0,0
2.0,2.0,0.0,0.333,3
2.0,2.0,0.0,0.333,3
2.0,1.0,1.0,1.0,3
1.0,2.0,0.0,0.0,3
0.0,1.0,0.0,0.0,5
1.0,0.0,1.0,1.0,2
2.0,1.0,1.0,1.0,2
1.0,2.0,0.0,0.0,1
2.5,2.0,0.5,0.667,1
5.0,2.0,1.0,1.0,2
2.5,2.5,0.0,0.333,5
2.0,0.0,1.0,1.0,4
2.0,2.5,0.0,0.167,0
3.0,2.5,0.5,0.5,2
3.5,1.5,1.0,1.0,2
3.333,3.0,0.333,0.556,2
1.0,0.0,1.0,1.0,1
0.0,1.0,0.0,0.0,0
2.0,0.0,1.0,1.0,3
0.0,2.0,0.0,0.0,0
0.0,0.0,0.0,0.333,0
2.0,0.0,1.0,1.0,1
0.0,0.0,0.0,0.333,0
0.0,2.0,0.0,0.0,1
2.0,1.0,1.0,1.0,1
1.0,0.0,1.0,1.0,0
1.0,2.0,0.0,0.0,3
0.0,1.0,0.0,0.0,1
3.0,1.0,1.0,1.0,5
0.0,2.0,0.0,0.0,0
1.0,3.0,0.0,0.0,2
2.0,0.0,1.0,1.0,1
1.0,2.0,0.0,0.0,1
0.0,0.0,0.0,0.333,4
2.0,1.0,1.0,1.0,3
0.0,0.0,0.0,0.333,0
1.5,0.0,1.0,1.0,2
0.0,0.5,0.0,0.167,0
0.5,1.0,0.5,0.5,0
0.0,0.5,0.0,0.167,0
0.5,0.5,0.5,0.5,0
2.0,1.5,0.5,0.5,0
0.5,2.0,0.0,0.0,0
1.5,0.5,1.0,1.0,3
0.0,3.5,0.0,0.0,1
1.5,2.0,0.5,0.5,3
1.5,1.0,0.5,0.5,0
4.0,0.5,1.0,1.0,1
2.0,0.5,0.5,0.667,1
2.5,0.5,1.0,1.0,1
0.0,1.5,0.0,0.167,2
1.0,3.0,0.0,0.0,1
1.5,0.0,1.0,1.0,1
1.5,0.5,0.5,0.667,1
2.0,0.0,1.0,1.0,1
0.5,0.0,0.5,0.667,1
2.0,0.667,0.667,0.778,5
2.5,1.0,1.0,1.0,0
3.0,0.0,1.0,1.0,0
1.667,0.667,0.333,0.556,0
1.333,0.333,0.667,0.778,2
0.667,0.333,0.333,0.556,0
2.0,0.0,0.667,0.778,0
3.0,0.333,0.667,0.778,1
0.333,1.0,0.0,0.222,2
1.5,0.25,0.5,0.583,2
1.667,0.333,0.667,0.778,1
2.5,0.25,0.75,0.833,0
1.0,1.0,0.0,0.333,4
0.0,2.0,0.0,0.0,2
2.0,0.0,1.0,1.0,0
1.0,1.0,0.0,0.333,1
2.0,2.0,0.0,0.333,2
1.0,2.0,0.0,0.0,2
2.0,1.0,1.0,1.0,3
2.0,2.0,0.0,0.333,0
3.0,0.0,1.0,1.0,3
1.0,1.0,0.0,0.333,1
1.0,1.0,0.0,0.333,1
0.0,3.0,0.0,0.0,0
1.0,1.0,0.0,0.333,2
1.0,0.0,1.0,1.0,2
0.0,1.0,0.0,0.0,2
1.0,1.0,0.0,0.333,3
0.0,1.0,0.0,0.0,1
2.0,0.0,1.0,1.0,1
3.0,0.0,1.0,1.0,1
1.0,1.0,0.0,0.333,1
1.0,1.0,0.0,0.333,1
0.0,3.0,0.0,0.0,1
0.0,2.0,0.0,0.0,4
1.0,0.0,1.0,1.0,0
2.0,4.0,0.0,0.0,0
1.0,0.0,1.0,1.0,1
4.0,2.0,1.0,1.0,4
0.0,1.0,0.0,0.0,0
0.0,3.0,0.0,0.0,2
2.0,2.0,0.0,0.333,2
3.0,0.0,1.0,1.0,2
2.0,2.0,0.0,0.333,2
0.0,1.0,0.0,0.0,2
1.0,3.0,0.0,0.0,3
1.0,0.0,1.0,1.0,0
3.0,1.0,1.0,1.0,2
2.0,3.0,0.0,0.0,1
2.0,2.0,0.0,0.333,0
3.0,2.0,1.0,1.0,2
2.0,2.0,0.0,0.333,0
0.0,4.0,0.0,0.0,0
1.0,1.0,0.0,0.333,0
4.0,0.0,1.0,1.0,0
1.0,1.0,0.0,0.333,0
1.0,1.0,0.0,0.333,0
1.0,1.0,0.0,0.333,0
1.0,1.0,0.0,0.333,0
1.0,1.0,0.0,0.333,1
2.5,1.0,1.0,1.0,3
0.0,2.0,0.0,0.167,0
1.0,0.0,1.0,1.0,2
3.0,2.0,1.0,1.0,0
4.0,0.0,1.0,1.0,0
0.0,2.0,0.0,0.0,1
2.0,2.0,0.0,0.333,1
0.5,0.5,0.0,0.333,1
2.0,2.0,0.0,0.333,1
1.0,0.0,1.0,1.0,0
2.0,0.0,1.0,1.0,1
0.0,4.0,0.0,0.0,1
0.0,0.0,0.0,0.333,2
0.0,2.0,0.0,0.0,1
1.0,0.0,1.0,1.0,0
2.0,0.0,0.5,0.667,2
1.5,0.0,1.0,1.0,1
2.5,0.0,1.0,1.0,0
0.5,0.5,0.0,0.333,3
0.5,1.0,0.5,0.5,1
1.0,0.5,0.5,0.667,1
1.0,1.0,0.0,0.333,2
1.5,1.0,0.5,0.667,0
1.0,0.0,0.5,0.667,0
1.5,0.0,1.0,1.0,1
0.667,0.0,0.333,0.556,1
1.5,1.0,0.5,0.667,1
1.333,0.667,0.333,0.556,0
0.75,0.25,0.25,0.5,0
1.0,0.75,0.25,0.417,0
1.333,0.333,0.667,0.778,1
1.333,0.667,0.667,0.778,2
